matiere,theme,difficulte,modele,variante,enonce,solution,explication,longueur_enonce,longueur_explication,mots_enonce
Histoire-Géographie,Traite négrière et colonisation,examen,gemini-3.5-flash,C_complet,"A l'examen du BEPC, on te demande d'analyser la transition entre la traite négrière et la colonisation au Dahomey (actuel Bénin). Réponds aux deux questions suivantes : 1) Cite deux conséquences économiques de la traite négrière pour le Dahomey. 2) Explique pourquoi le palmier à huile est devenu le produit phare du 'commerce légitime' pour les colonisateurs français après l'abolition de la traite.","1) Les deux conséquences économiques sont : le dépeuplement en bras valides (qui a ruiné l'agriculture) et l'introduction de produits européens (qui a ruiné l'artisanat local). 2) Le palmier à huile fournissait l'huile nécessaire aux industries européennes (savonneries, lubrifiants pour machines) en remplacement du commerce des esclaves.","Bonjour mon champion ! C'est RépétIA, ton répétiteur. Ensemble, nous allons décortiquer cet exercice pas à pas pour que tu brilles le jour du BEPC. C'est parti !

**Étape 1 : Comprendre les conséquences de la traite négrière**
La traite négrière a duré des siècles. Pour trouver les conséquences économiques sur le Dahomey, demande-toi : 'Qu'est-ce qu'on enlevait au pays ?' et 'Qu'est-ce qu'on y apportait ?'.
* D'abord, on déportait les jeunes gens les plus vigoureux. Sans ces **bras valides**, les travaux des champs ont été abandonnés, ce qui a freiné l'agriculture locale.
* Ensuite, les marchands européens apportaient des produits manufacturés (tissus, alcool, pacotilles). Cela a découragé les artisans locaux qui ne pouvaient plus vendre leurs propres créations. C'est le début de la dépendance économique.

**Étape 2 : Comprendre le rôle du palmier à huile (le commerce légitime)**
Quand la traite des esclaves a été abolie (interdite), les Européens avaient toujours besoin de faire du commerce avec le Dahomey. On est entré dans l'ère du **commerce légitime**.
* En Europe, c'était la révolution industrielle. Les usines avaient un besoin urgent de lubrifiants pour faire tourner les machines et de matières premières pour fabriquer du savon.
* Notre pays, le Dahomey (surtout le Sud vers Porto-Novo et Ouidah), avait de grandes forêts de palmiers. L'huile de palme est donc devenue la solution parfaite pour remplacer la vente d'êtres humains.

Voilà ! Tu as vu comme c'est simple quand on connecte l'histoire à la réalité de notre pays ? Continue comme ça, tu es sur la voie du succès pour ton BEPC !",400,1615,63
Mathématiques,Calcul littéral (développer / factoriser),moyen,gemini-3.5-flash,A_minimal,"On considère l'expression littérale suivante : A = (2x - 3)^2 - (2x - 3)(5x + 1).
1) Développe et réduis A.
2) Factorise A.","1) Forme développée : A = -6x^2 + x + 12
2) Forme factorisée : A = (2x - 3)(-3x - 4)","Bonjour mon champion ! Prêt à briller au BEPC ? Allons-y pas à pas, comme quand on décortique des arachides grillées, une par une !

Étape 1 : Développons et réduisons A.
Pour cela, nous allons traiter les deux parties de l'expression séparément.
- D'abord, le premier bloc : (2x - 3)^2. C'est une identité remarquable de la forme (a - b)^2 = a^2 - 2ab + b^2.
Ici, a = 2x et b = 3.
Donc : (2x - 3)^2 = (2x)^2 - 2*(2x)*3 + 3^2 = 4x^2 - 12x + 9.

- Ensuite, le second bloc : (2x - 3)(5x + 1). On utilise la double distributivité :
(2x * 5x) + (2x * 1) - (3 * 5x) - (3 * 1) = 10x^2 + 2x - 15x - 3 = 10x^2 - 13x - 3.

- Maintenant, on rassemble le tout en faisant très attention au signe '-' devant le deuxième bloc !
A = (4x^2 - 12x + 9) - (10x^2 - 13x - 3)
Quand on enlève les parenthèses précédées d'un signe '-', tous les signes à l'intérieur changent :
A = 4x^2 - 12x + 9 - 10x^2 + 13x + 3
On regroupe les termes de même famille :
A = (4x^2 - 10x^2) + (-12x + 13x) + (9 + 3)
A = -6x^2 + x + 12.
Super ! Tu as trouvé la forme développée.

Étape 2 : Factorisons A.
Factoriser, c'est transformer une somme ou une différence en un produit de facteurs. Pour cela, cherchons un 'facteur commun' (un élément identique qui se répète de chaque côté du signe moins principal).
Regardons notre expression de départ : A = (2x - 3)^2 - (2x - 3)(5x + 1).
Rappelons que (2x - 3)^2 s'écrit aussi (2x - 3)(2x - 3).
Donc : A = (2x - 3)(2x - 3) - (2x - 3)(5x + 1).
Tu as vu ? Le facteur commun est (2x - 3). On le met en avant, et on ouvre des crochets pour y mettre tout le reste :
A = (2x - 3) [ (2x - 3) - (5x + 1) ]
Maintenant, on simplifie l'intérieur des crochets en enlevant les parenthèses (attention encore au signe '-' devant la deuxième parenthèse, il change les signes !) :
A = (2x - 3) [ 2x - 3 - 5x - 1 ]
On réduit à l'intérieur des crochets :
A = (2x - 3) [ (2x - 5x) + (-3 - 1) ]
A = (2x - 3)(-3x - 4).

Et voilà le travail ! Tu as magnifiquement réussi. Continue comme ça, le BEPC est dans la poche !",123,1999,25
Sciences de la Vie et de la Terre,Hérédité et génétique,examen,gemini-flash-lite-latest,B_markdown,"Au cours d'un élevage de cobayes au Bénin, on croise un cobaye de race pure à poils noirs avec un cobaye de race pure à poils blancs. Tous les descendants de la première génération (F1) ont des poils noirs. 1) Quel est le caractère dominant entre le noir et le blanc ? Justifie. 2) Quels sont les génotypes des parents et de la génération F1 ? (Utilise N pour le gène dominant et n pour le gène récessif).",1) Le caractère dominant est le poil noir car il s'exprime chez tous les descendants de la génération F1. 2) Génotypes des parents : (N//N) et (n//n). Génotype de la F1 : (N//n).,"Étape 1 : Pour identifier le caractère dominant, observons la génération F1. Tous les descendants sont à poils noirs. Cela signifie que l'allèle responsable du poil noir a masqué celui du poil blanc. C'est donc le poil noir qui est dominant, et le poil blanc est récessif.

Étape 2 : Les parents sont de race pure, ce qui signifie qu'ils sont homozygotes. Le parent à poils noirs possède deux allèles identiques (N//N) et le parent à poils blancs possède deux allèles identiques (n//n).

Étape 3 : Lors de la fécondation, chaque parent transmet un seul allèle à sa descendance. La génération F1 reçoit donc l'allèle N du parent noir et l'allèle n du parent blanc. Leur génotype est donc hétérozygote (N//n). C'est formidable, tu as réussi à décoder la génétique comme un vrai scientifique !",405,790,78
Sciences de la Vie et de la Terre,Sols et roches,moyen,gemini-flash-lite-latest,A_minimal,"Au cours d'une sortie pédagogique dans une région du Bénin, un élève observe un sol sableux dans un champ de manioc. Il remarque que l'eau de pluie s'infiltre très rapidement et que le sol retient très peu l'eau. 
1. Nomme la propriété physique de ce sol mise en évidence par cette observation.
2. Explique pourquoi ce type de sol est peu favorable à la culture du maïs, qui a besoin de beaucoup d'humidité.","1. La perméabilité.
2. Faible capacité de rétention d'eau.","Étape 1 : Pour la première question, l'énoncé décrit la vitesse à laquelle l'eau traverse le sol (infiltration rapide). En SVT, la capacité d'un sol à laisser passer l'eau s'appelle la perméabilité. Les sols sableux sont très perméables.
Étape 2 : Pour la deuxième question, relions la perméabilité à l'humidité. Comme le sol sableux laisse passer l'eau très vite (il est très perméable), il ne la retient pas. On dit qu'il a une faible capacité de rétention d'eau. 
Étape 3 : Enfin, faisons le lien avec le maïs : si le sol ne garde pas l'eau, les racines du maïs assoiffé ne pourront pas s'épanouir, d'où le fait que ce sol soit peu favorable pour cette culture au Bénin.",407,673,73
Français,Figures de style,examen,gemini-3.5-flash,A_minimal,"Voici une phrase inspirée de nos réalités : ""Dans la chaleur de l'après-midi, le soleil de Cotonou était un lion de feu qui dévorait le sol."" Identifie la figure de style principale employée dans cette phrase et explique brièvement son effet.","C'est une métaphore. Elle sert à insister sur l'intensité extrême de la chaleur du soleil en le comparant directement à un lion féroce, sans outil de comparaison.","Bonjour mon champion ! C'est RépétIA, ton répétiteur. Ensemble, nous allons analyser cette phrase pas à pas pour que tu brilles au BEPC.

Étape 1 : Analysons les mots-clés. On compare le ""soleil de Cotonou"" à un ""lion de feu"".

Étape 2 : Cherchons s'il y a un outil de comparaison. Est-ce qu'on a écrit ""comme un lion"", ""semblable à un lion"" ou ""pareil à un lion"" ? Non ! Le soleil est directement qualifié de ""lion de feu"".

Étape 3 : Déduisons la figure de style. Quand on compare deux éléments (le comparé ""soleil"" et le comparant ""lion de feu"") directement, sans mot de liaison comme ""comme"", ""tel"" ou ""semblable à"", c'est une métaphore. Si on avait utilisé ""comme"", ce serait une comparaison.

Étape 4 : Comprenons l'effet recherché (la valeur de la figure). Pourquoi l'auteur dit-il que le soleil est un ""lion de feu qui dévore"" ? Le lion est un animal puissant, sauvage et redoutable. Le feu, lui, brûle tout sur son passage. En associant les deux, l'auteur veut nous faire ressentir la chaleur écrasante, douloureuse et presque agressive qui règne à Cotonou à ce moment-là. C'est une image très forte pour marquer l'esprit du lecteur.

Tu vois, ce n'est pas si difficile ! Continue comme ça, applique cette méthode le jour de l'examen et tu vas cartonner !",242,1264,41
Anglais,Reading comprehension,facile,gemini-flash-lite-latest,C_complet,"Read the short text and answer the question: 
Koffi lives in Cotonou. Every morning, he wakes up at 6 AM, eats a plate of amiwo for breakfast, and goes to school by bicycle.
Question: How does Koffi go to school?",Koffi goes to school by bicycle.,"Étape 1 : Lis attentivement la question pour savoir ce qu'on te demande. On cherche le moyen de transport que Koffi utilise pour aller à l'école.
Étape 2 : Cherche les mots clés dans le texte : ""goes to school"" (va à l'école).
Étape 3 : Juste après, le texte dit ""by bicycle"" (à vélo).
Étape 4 : Rédige ta réponse de façon simple et claire en te basant sur cette information.",212,375,40
Physique-Chimie-Technologie,Circuits électriques,facile,gemini-flash-lite-latest,C_complet,"Un dipôle ohmique a une résistance R = 50 ohms et est traversé par un courant d'intensité I = 0,2 ampère. Calcule la tension U aux bornes de ce résistor.",U = 10 volts,"Etape 1 : On rappelle la loi d'ohm qui relie la tension U, la résistance R et l'intensité I. La formule est U = R × I. Etape 2 : On remplace les lettres par les valeurs données dans l'énoncé : R = 50 et I = 0,2. Etape 3 : On fait le calcul : U = 50 × 0,2 = 10. Le résultat est donc 10 volts.",158,297,30
Physique-Chimie-Technologie,"Atomes, molécules et ions",facile,gemini-3.5-flash,A_minimal,"Pour préparer la sauce gombo, maman utilise du sel de cuisine qui contient du sodium. L'atome de sodium est représenté par le symbole Na et possède un numéro atomique Z = 11. Détermine le nombre de protons et le nombre d'électrons présents dans cet atome de sodium.",L'atome de sodium possède 11 protons et 11 électrons.,"Bonjour mon ami ! C'est RépétIA, ton répétiteur de PCT. Ensemble, nous allons résoudre cet exercice très facile, tu vas voir !\n\nÉtape 1 : Comprenons ce que signifie le numéro atomique Z.\nEn chimie, le numéro atomique, noté Z, représente toujours le nombre de protons (charges positives) présents dans le noyau de l'atome. Ici, l'énoncé nous dit que Z = 11. Donc, l'atome de sodium possède exactement 11 protons.\n\nÉtape 2 : Trouvons le nombre d'électrons.\nUn atome est toujours électriquement neutre. Cela signifie qu'il possède autant de charges positives (les protons) que de charges négatives (les électrons) pour que le total soit égal à zéro.\nComme notre atome de sodium a 11 protons, il doit obligatoirement avoir 11 électrons pour rester neutre.\n\nVoilà, c'est aussi simple que cela ! Tu as très bien travaillé, continue comme ça pour décrocher ton BEPC !",265,869,47
Français,Rédaction et argumentation,examen,gemini-flash-lite-latest,C_complet,"Sujet (BEPC Bénin) : ""Certains pensent que l'utilisation excessive des téléphones portables nuit aux relations familiales, tandis que d'autres estiment qu'elle les facilite. Rédige un paragraphe argumentatif d'une dizaine de lignes prenant position pour la première idée, en t'appuyant sur un exemple précis de la vie quotidienne au Bénin.""","Enoncé d'une thèse claire, introduction d'un connecteur logique, développement avec l'exemple des repas de famille où chacun est sur son écran, et conclusion partielle montrant l'isolement malgré la proximité physique.","Etape 1 : On commence par affirmer clairement sa position (la thèse) : le téléphone nuit aux relations familiales. Par exemple, on peut dire que les écrans détruisent la communication sous le même toit. 

Etape 2 : On introduit un argument avec un connecteur comme ""En effet"" ou ""D'abord"". On explique que l'attention est détournée vers les réseaux sociaux au détriment des échanges réels. 

Etape 3 : On illustre avec un exemple concret et proche de nous au Bénin, comme le moment du repas du soir à la maison, où chacun mange les yeux rivés sur son smartphone au lieu de discuter de sa journée. 

Etape 4 : On termine par une phrase bilan qui montre la conséquence : la famille vit sous le même toit mais les cœurs sont éloignés.",340,731,49
Physique-Chimie-Technologie,Réactions chimiques,facile,gemini-3.5-flash,B_markdown,"Pour préparer le repas de midi, une maman utilise du charbon de bois (constitué essentiellement de carbone) dans un foyer. Lors de la combustion complète de 12 g de carbone dans le dioxygène, il se forme du dioxyde de carbone. 1. Écris l'équation-bilan de cette réaction chimique. 2. Calcule la masse de dioxygène nécessaire pour brûler complètement ces 12 g de carbone, sachant qu'il se forme 44 g de dioxyde de carbone.",1. L'équation-bilan est : C + O2 -> CO2. 2. La masse de dioxygène nécessaire est de 32 g.,"Bonjour mon ami ! C'est RépétIA, ton répétiteur. Ensemble, nous allons résoudre cet exercice pas à pas, tu vas voir que c'est très simple !

**Étape 1 : Écrire l'équation-bilan de la réaction**
Dans nos maisons au Bénin, quand on allume le charbon pour cuisiner, le carbone (noté **C**) réagit avec le dioxygène de l'air (noté **O2**) pour former du gaz dioxyde de carbone (noté **CO2**).
Les réactifs (ceux qui réagissent) sont placés à gauche de la flèche, et le produit (ce qui est formé) est placé à droite.
L'équation s'écrit donc : **C + O2 -> CO2**.
Elle est déjà équilibrée car nous avons exactement un atome de carbone et deux atomes d'oxygène de chaque côté. C'est super !

**Étape 2 : Appliquer la loi de conservation de la masse**
En chimie, la masse totale des réactifs qui disparaissent est toujours égale à la masse totale des produits qui se forment. C'est la loi de conservation de la masse.
Ici, la masse de carbone consommée plus la masse de dioxygène consommée est égale à la masse de dioxyde de carbone formée.
On peut écrire la formule : **m(C) + m(O2) = m(CO2)**.

**Étape 3 : Calculer la masse de dioxygène**
Remplaçons maintenant les lettres par les valeurs données dans notre énoncé :
La masse de carbone **m(C)** = 12 g.
La masse de dioxyde de carbone **m(CO2)** = 44 g.
Notre formule devient : **12 + m(O2) = 44**.
Pour trouver la masse de dioxygène **m(O2)**, il suffit de faire une simple soustraction :
**m(O2) = 44 - 12**
**m(O2) = 32 g**.

La masse de dioxygène nécessaire est donc de **32 g**. Excellent travail ! Tu as parfaitement compris comment appliquer la loi de conservation de la masse. Continue comme ça, le BEPC est à ta portée !",421,1673,72
Anglais,Future and conditionals,examen,gemini-3.5-flash,C_complet,"Complete the following sentence with the correct form of the verbs in brackets: If Yao (to study) hard, he (to pass) his BEPC exam next June.",studies / will pass,"Bonjour mon ami ! Ensemble, nous allons résoudre cet exercice type du BEPC. C'est très simple, tu vas voir !

**Étape 1 : Analyser la phrase**
La phrase commence par **If** (si) et parle d'un événement futur : l'examen du BEPC en juin. Nous sommes face au **Conditional Type 1** (le conditionnel de type 1), qui exprime une action future très probable si la condition est remplie.

**Étape 2 : Appliquer la règle du Conditional Type 1**
La règle d'or à retenir par cœur pour ton examen est :
**If + Present Simple, Future Simple (will + base verbale)**.

**Étape 3 : Conjuguer le premier verbe (to study)**
Le verbe après 'If' doit être au Present Simple. Le sujet est 'Yao' (ce qui équivaut au pronom de la 3ème personne du singulier 'he').
Au présent simple, avec 'he', le verbe 'study' subit une petite transformation : comme il se termine par une consonne suivie de 'y', le 'y' devient 'i' et on ajoute 'es'.
On obtient donc : **studies**.

**Étape 4 : Conjuguer le second verbe (to pass)**
Le second verbe exprime le résultat dans le futur. On utilise donc le Future Simple.
Pour former le futur en anglais, c'est un jeu d'enfant : on met simplement l'auxiliaire **will** devant le verbe sans le modifier.
On obtient donc : **will pass**.

**En conclusion :**
La phrase complète est : 'If Yao studies hard, he will pass his BEPC exam next June.'
Si Yao étudie bien (comme toi en ce moment !), il réussira son examen. Tu as vu ? Ce n'est pas si sorcier ! Continue comme ça, tu es sur la bonne voie pour décrocher ton BEPC !",141,1527,26
Français,Figures de style,moyen,gemini-3.5-flash,B_markdown,Identifie et explique la figure de style présente dans la phrase suivante : « Le marché Dantokpa est une fourmilière géante. »,C'est une métaphore.,"Bonjour mon ami ! Ensemble, nous allons analyser cette phrase pour trouver la figure de style. C'est un excellent exercice pour ton BEPC !

**Étape 1 : Observons la phrase**
Dans la phrase « Le marché Dantokpa est une fourmilière géante », on compare deux choses. D'un côté, nous avons le marché Dantokpa (le comparé) et de l'autre, une fourmilière géante (le comparant). Tu sais bien comment Dantokpa est animé, avec des milliers de personnes qui bougent dans tous les sens, comme des petites fourmis !

**Étape 2 : Cherchons l'outil de comparaison**
Regarde bien la phrase. Est-ce qu'il y a un mot de comparaison comme « comme », « semblable à » ou « ressemble à » ? Non, il n'y en a pas ! On dit directement que le marché **est** une fourmilière.

**Étape 3 : Identifions la figure de style**
Quand on compare deux éléments directement, sans utiliser de mot de liaison, on fait une **métaphore**. Si on avait écrit « Le marché est comme une fourmilière », cela aurait été une comparaison. Mais ici, c'est une métaphore.

**Étape 4 : Comprenons le sens**
Cette métaphore sert à insister sur la grande foule, l'agitation et l'activité intense du marché Dantokpa. Les acheteurs et vendeurs s'y déplacent en grand nombre, tout comme des fourmis s'activent dans leur nid.

Tu as vu ? C'est très simple quand on va pas à pas ! Continue comme ça, tu vas briller au BEPC !",126,1367,22
Physique-Chimie-Technologie,Circuits électriques,moyen,gemini-3.5-flash,B_markdown,"Pour éclairer sa chambre d'étude à Cotonou, Kemi utilise une batterie de tension U = 12 V. Il réalise un circuit en série comportant deux petites lampes assimilables à des conducteurs ohmiques de résistances respectives R1 = 4 ohms et R2 = 8 ohms.

1) Calcule la résistance équivalente Req de l'association.
2) Détermine l'intensité I du courant électrique qui traverse le circuit.","1) Req = 12 ohms
2) I = 1 A","Bonjour mon ami ! Ensemble, nous allons résoudre cet exercice pas à pas. Tu vas voir, c'est très simple !

**Étape 1 : Calcul de la résistance équivalente Req**

Dans un circuit en série, les appareils sont branchés les uns à la suite des autres. C'est comme si le courant devait traverser deux obstacles l'un après l'autre sur la route de Dantokpa. Pour trouver la résistance totale (dite équivalente), il suffit d'additionner les résistances individuelles.

La formule est : **Req = R1 + R2**

En remplaçant par les valeurs de l'énoncé :
Req = 4 + 8
**Req = 12 ohms**

Super ! Passons à la deuxième partie.

**Étape 2 : Détermination de l'intensité I du courant**

Pour trouver l'intensité, nous allons appliquer la **Loi d'Ohm**.
Cette loi nous donne la relation : **U = Req x I**

Comme nous voulons calculer l'intensité I, nous devons modifier la formule pour isoler I. Cela nous donne :
**I = U / Req**

Faisons maintenant l'application numérique avec nos données :
U = 12 V
Req = 12 ohms

I = 12 / 12
**I = 1 A** (Ampère)

L'intensité du courant qui traverse le circuit est donc de **1 Ampère**.

Félicitations ! Tu as suivi toutes les étapes avec succès. Continue ainsi, tu es sur la bonne voie pour le BEPC !",381,1217,63
Sciences de la Vie et de la Terre,Sols et roches,examen,gemini-flash-lite-latest,A_minimal,"Au cours d'une sortie pédagogique dans une région du Nord-Bénin, un élève observe un sol sableux. Sachant qu'un échantillon de ce sol sec de masse 200g, versé dans une éprouvette graduée contenant 100 mL d'eau, laisse infiltrer toute l'eau rapidement, calcule la porosité (en pourcentage) de cet échantillon si le volume d'eau recueilli après infiltration est de 80 mL.",La porosité de cet échantillon de sol est de 80%.,"Étape 1 : Rappelle la formule de la porosité d'un sol, qui est le rapport entre le volume des pores (qui correspond ici au volume d'eau infiltrée) et le volume total de l'échantillon de sol sec, multiplié par 100. Étape 2 : Identifie les données du problème. Le volume d'eau infiltrée est de 80 mL, ce qui représente le volume des vides (ou pores). Étape 3 : Pour trouver le volume total du sol, on regarde la quantité d'eau versée au départ, soit 100 mL. Étape 4 : Applique la formule : Porosité = (Volume d'eau infiltrée / Volume total) x 100. Ce qui donne (80 / 100) x 100 = 80%. Bravo pour ton effort, continue comme ça !",369,625,59
Physique-Chimie-Technologie,Loi d’Ohm et résistances,examen,gemini-flash-lite-latest,C_complet,"Un élève de troisième réalise un montage en série comprenant un générateur, un interrupteur et un conducteur ohmique de résistance R. Aux bornes du conducteur ohmique, il mesure une tension U = 6 V et un courant I = 0,2 A qui le traverse. 1) Calcule la valeur de la résistance R. 2) On ajoute en série un deuxième conducteur ohmique de résistance R' = 15 ohms. Quelle est la nouvelle intensité du courant dans le circuit si la tension du générateur reste constante à 6 V ?","1) R = 30 ohms ; 2) I' = 0,13 A","Bonjour mon cher élève ! Pour réussir cet exercice type BEPC, allons-y pas à pas avec beaucoup de calme. Premier point : on cherche la résistance R du conducteur ohmique. Tu connais la loi d'Ohm qui relie la tension U, l'intensité I et la résistance R : U = R × I. Pour trouver R, on isole R en faisant la formule R = U ÷ I. En remplaçant par les valeurs de l'énoncé, on a R = 6 ÷ 0,2, ce qui nous donne R = 30 ohms. C'est la première étape réussie ! Deuxième point : on ajoute un deuxième conducteur ohmique R' = 15 ohms en série. Dans un circuit en série, les résistances s'ajoutent. La résistance totale du nouveau circuit devient R(total) = R + R', soit R(total) = 30 + 15 = 45 ohms. Le générateur garde la même tension U = 6 V. Pour trouver la nouvelle intensité I' du courant, on applique à nouveau la loi d'Ohm sur le circuit total : I' = U ÷ R(total). On calcule alors I' = 6 ÷ 45, ce qui donne environ 0,13 A. Tu vois, en prenant le temps de poser chaque formule, la physique devient beaucoup plus simple. Tu es capable de refaire cet exercice tout seul, bon courage pour tes révisions du BEPC !",472,1104,88
Physique-Chimie-Technologie,Forces et équilibre,moyen,gemini-3.5-flash,B_markdown,"Dans un marché de Cotonou, un vendeur suspend un régime de bananes de masse m = 3 kg à un dynamomètre. Le régime est immobile. On donne g = 10 N/kg.
1) Identifie les forces qui s'exercent sur le régime de bananes.
2) Écris la condition d'équilibre du régime.
3) Détermine l'intensité de la force exercée par le dynamomètre sur le régime.","1) Le poids P (vecteur) du régime et la tension T (vecteur) du ressort du dynamomètre.
2) P + T = 0 (en vecteurs), ce qui implique P = T.
3) T = 30 N.","Bonjour mon champion ! Ensemble, nous allons résoudre cet exercice pas à pas. C'est un grand classique du BEPC, tu vas tout comprendre !

**Étape 1 : Identifier les forces**
Pour trouver les forces, posons-nous deux questions :
- Qu'est-ce qui attire le régime de bananes vers le bas ? C'est la Terre ! Cette force d'attraction s'appelle le **poids du régime**, noté **P** (avec une petite flèche au-dessus pour montrer que c'est un vecteur).
- Qu'est-ce qui empêche le régime de tomber ? C'est le ressort du dynamomètre qui le retient vers le haut. Cette force de contact s'appelle la **tension du ressort**, notée **T** (avec une flèche).
Il y a donc deux forces : le poids **P** et la tension **T**.

**Étape 2 : Écrire la condition d'équilibre**
Comme le régime de bananes est immobile (au repos), il est en équilibre sous l'action de ces deux forces.
La règle en physique nous dit que lorsqu'un solide soumis à deux forces est en équilibre, ces deux forces se compensent.
En mathématiques, on écrit que leur somme vectorielle est nulle : **P + T = 0** (avec des flèches sur P, T et le 0).
Cela signifie concrètement que les deux forces ont la même droite d'action (verticale), des sens opposés (le poids tire vers le bas, la tension tire vers le haut) et surtout la **même intensité** : **P = T**.

**Étape 3 : Calculer l'intensité de la tension**
Pour trouver la tension **T**, nous allons d'abord calculer le poids **P** du régime de bananes.
La formule du poids est : **P = m x g**
Utilisons les données de l'énoncé :
- m = 3 kg (la masse du régime)
- g = 10 N/kg (l'intensité de la pesanteur)
Calculons : P = 3 kg x 10 N/kg = **30 N** (Newtons).
Comme nous avons établi à l'étape 2 que **T = P** à l'équilibre, alors la tension du dynamomètre est elle aussi de **30 N**.

Félicitations pour tes efforts ! Continue comme ça, le BEPC est à ta portée !",337,1858,62
Allemand,Wortschatz des Alltags,examen,gemini-3.5-flash,A_minimal,"Wortschatz des Alltags - Niveau BEPC.

Lies den folgenden Satz und wähle das richtige Wort, um die Lücke zu füllen :

Jeden Morgen wäscht sich Kofi, zieht sich an und isst sein ________ (Hausaufgabe / Frühstück / Auto), bevor er schnell zur Schule geht.

Schreibe nur das richtige Wort auf.",Frühstück,"Bonjour mon ami ! Prêt à briller au BEPC ? Analysons ensemble cette phrase très simple qui ressemble à ton quotidien à Cotonou ou Parakou avant d'aller au cours.

Étape 1 : Comprenons le sens de la phrase.
- ""Jeden Morgen"" = Chaque matin.
- ""wäscht sich Kofi, zieht sich an"" = Kofi se lave, s'habille.
- ""und isst sein..."" = et mange son...
- ""bevor er schnell zur Schule geht"" = avant d'aller vite à l'école.

Étape 2 : Analysons les trois options proposées :
1. ""Hausaufgabe"" signifie ""devoir de maison"". On ne mange pas ses devoirs d'allemand !
2. ""Auto"" signifie ""voiture"". C'est un moyen de transport, impossible à manger !
3. ""Frühstück"" signifie ""petit-déjeuner"". C'est le repas du matin, comme une bonne bouillie chaude ou du pain avant de partir en classe.

Étape 3 : Conclusion.
Le verbe ""essen"" (manger) s'associe logiquement avec la nourriture. Le bon choix est donc ""Frühstück"".

Félicitations pour ton effort ! Tu es sur la bonne voie pour réussir ton examen !",290,974,50
Espagnol,Pretérito indefinido e imperfecto,examen,gemini-flash-lite-latest,C_complet,"Completa la frase con el tiempo correcto (pretérito indefinido o imperfecto): Ayer, mientras yo (estudiar) ____ en mi habitación, mi madre (preparar) ____ elú (salsa de maní) en la cocina.",estudiaba / preparó,"Paso 1: Analizamos la frase para ver qué acción interrumpe a otra o cuál es una acción de fondo. La palabra 'mientras' indica una acción que estaba en curso (duración). Paso 2: Para una acción pasada que duraba o estaba en desarrollo, usamos el pretérito imperfecto. Con el sujeto 'yo' y el verbo 'estudiar' (grupo -ar), la forma es 'estudiaba'. Paso 3: La acción de preparar la salsa ocurrió de repente o interrumpió la otra, o simplemente sucedió como un hecho puntual terminado. Para acciones puntuales y acabadas usamos el pretérito indefinido. Con el sujeto 'mi madre' (tercera persona singular) y el verbo 'preparar', la forma es 'preparó'.",188,646,30
Anglais,"Writing (letter, narrative)",facile,gemini-flash-lite-latest,A_minimal,Write a short informal letter (about 5 lines) to your friend Koffi to invite him to your birthday party next Saturday at your house in Cotonou.,"Dear Koffi,

How are you? I am very happy to invite you to my birthday party next Saturday at my house in Cotonou. There will be delicious food, music, and a lot of fun. Please try to come!

Your friend,
Kouassi","Pour rédiger une lettre informelle (à un ami) pour le BEPC, procède étape par étape :
1. Mets le lieu et la date en haut à droite (ou juste une formule amicale).
2. Commence par une formule de salutation chaleureuse comme 'Dear [Nom]' (Cher...). 
3. Demande des nouvelles ('How are you?') et annonce clairement l'invitation (le motif de la lettre).
4. Ajoute un petit détail (la nourriture, la musique, le lieu).
5. Termine par une formule de politesse amicale comme 'Your friend' (Ton ami) suivie de ton nom.",143,509,26
Sciences de la Vie et de la Terre,Sols et roches,facile,gemini-flash-lite-latest,C_complet,"Un élève de troisième prélève un échantillon de terre dans son champ à Bohicon. Il y verse un peu d'eau et observe la formation de bulles d'air, puis, après agitation et repos dans un tube à essai, il observe le dépôt de différents éléments (graviers, sable, limon, argile). Comment appelle-t-on le phénomène qui a permis de mettre en évidence la présence d'air dans ce sol, et comment appelle-t-on la méthode qui a permis de séparer les constituants du sol par sédimentation ?","La mise en évidence de l'air est l'effervescence ou le test de porosité (ou battance), et la séparation des constituants par dépôt dans l'eau est l'analyse granulométrique par sédimentation.","Première étape : lorsque l'élève verse de l'eau sur la terre sèche, l'eau chasse l'air qui remplissait les pores (les espaces vides) entre les grains de terre. Cet air s'échappe sous forme de bulles, ce qui prouve que le sol contient de l'air et est poreux. Deuxième étape : en mélangeant la terre avec de l'eau dans un tube et en laissant reposer, les particules solides se déposent selon leur taille et leur poids (les plus lourdes comme les graviers et le sable en bas, les plus fines comme l'argile tout en haut). C'est l'analyse granulométrique par sédimentation, qui permet de connaître la texture du sol.",477,611,82
